,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Predictions of TASK
176,https://t.co/BNmKFZkPZd,"[('http', 'NN'), ('bnmkfzkpzd', 'NN')]",http bnmkfzkpzd,2
177,why is it that these seniors look way older than the seniors here in town ? \xf0\x9f\x98\xb3,"[('senior', 'JJ'), ('look', 'NN'), ('older', 'JJR'), ('senior', 'JJ'), ('town', 'NN')]",senior look old senior town,0
178,So the #coronavirus East egg hunt went GREAT. https://t.co/QB9PWCLBDW,"[('coronaviru', 'NN'), ('east', 'NN'), ('hunt', 'NN'), ('went', 'VBD'), ('great', 'JJ'), ('http', 'NN'), ('pwclbdw', 'NN')]",coronaviru east hunt go great http pwclbdw,2
179,In this case CV 19 is a sweet angel if we can be brought back from the brink of disaster of our own making. https://t.co/PjK3fQktrV,"[('case', 'NN'), ('sweet', 'NN'), ('angel', 'NN'), ('brought', 'VBD'), ('back', 'RP'), ('brink', 'NN'), ('disast', 'NN'), ('make', 'VBP'), ('http', 'NN'), ('fqktrv', 'NN')]",case sweet angel bring back brink disast make http fqktrv,1
180,@VaugeP @lee_randal @JohnCornyn https://t.co/5PWpfhAHLm,"[('vaugep', 'NN'), ('randal', 'NN'), ('johncornyn', 'NN'), ('http', 'NN'), ('pwpfhahlm', 'NN')]",vaugep randal johncornyn http pwpfhahlm,2
181,Expendable populations. This is very bad.,"[('expend', 'VB'), ('popul', 'NN'), ('thi', 'NN')]",expend popul thi,1
182,Bruh I\xe2\x80\x99m sick af I\xe2\x80\x99m starting to think I got the corona virus but it can\xe2\x80\x99t be cause I only drink modelos \xf0\x9f\xa7\x90,"[('bruh', 'NN'), ('sick', 'JJ'), ('start', 'NN'), ('think', 'VBP'), ('corona', 'NN'), ('viru', 'NN'), ('caus', 'NN'), ('drink', 'VBP'), ('modelo', 'NN')]",bruh sick start think corona viru caus drink modelo,1
183,You can definitely tell who at Walmart is grocery shopping and who is prepping for the corona virus \xf0\x9f\x99\x84 I JUST WANT GROCERIES,"[('definit', 'NN'), ('tell', 'VB'), ('walmart', 'JJ'), ('groceri', 'NN'), ('shop', 'NN'), ('prep', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('just', 'RB'), ('want', 'VBP'), ('groceri', 'NN')]",definit tell walmart groceri shop prep corona viru want groceri,1
184,\xe2\x80\x9cCall you Corona cuz you were the virus in my life\xe2\x80\x9d https://t.co/lhHiuNErBm,"[('ccall', 'NN'), ('corona', 'NN'), ('viru', 'JJ'), ('life', 'NN'), ('http', 'NN'), ('lhhiunerbm', 'NN')]",ccall corona viru life http lhhiunerbm,1
185,https://t.co/qVh7sYTQkM,"[('http', 'NN'), ('sytqkm', 'NN')]",http sytqkm,2
186,@stinson Pre Covid-19 vax biz: camera drone hire in all the top global Instagram sites with remote app.  Local authorities would have to meter use obviously.,"[('stinson', 'NN'), ('covid', 'NN'), ('camera', 'NN'), ('drone', 'NN'), ('hire', 'NN'), ('global', 'JJ'), ('instagram', 'NN'), ('site', 'NN'), ('remot', 'JJ'), ('local', 'JJ'), ('author', 'NN'), ('would', 'MD'), ('meter', 'VB'), ('obvious', 'JJ')]",stinson covid camera drone hire global instagram site remot local author would meter obvious,1
187,@JohnOehlers12  The hits keep on coming  @GavinNewsom has no problem with this.,"[('johnoehl', 'NN'), ('hit', 'VBD'), ('keep', 'JJ'), ('come', 'NN'), ('gavinnewsom', 'NN'), ('problem', 'NN')]",johnoehl hit keep come gavinnewsom problem,1
188,Well said!,"[('well', 'RB'), ('said', 'VBD')]",well say,2
189,Everyone avoiding drinking corona beer cause the corona virus.... little do we know that\xe2\x80\x99s probably the secret cure \xf0\x9f\x99\x84,"[('everyon', 'NN'), ('avoid', 'NN'), ('drink', 'NN'), ('corona', 'VBP'), ('beer', 'NN'), ('caus', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('littl', 'NN'), ('know', 'VBP'), ('probabl', 'NN'), ('secret', 'JJ'), ('cure', 'NN')]",everyon avoid drink corona beer caus corona viru littl know probabl secret cure,1
190,So what are people gonna do with their new medical supplies closets once the Corona Virus attention dies down and they realize all they needed to do was was their hands?,"[('peopl', 'NN'), ('medic', 'JJ'), ('suppli', 'NN'), ('closet', 'NN'), ('corona', 'NN'), ('viru', 'FW'), ('attent', 'NN'), ('die', 'NN'), ('realiz', 'VBP'), ('need', 'NN'), ('hand', 'NN')]",peopl medic suppli closet corona viru attent die realiz need hand,1
191,https://t.co/s6syiEkk5Z,"[('http', 'NN'), ('syiekk', 'NN')]",http syiekk,2
192,@DanielleFong Covid funerals are closed casket \xf0\x9f\x98\xa5,"[('daniellefong', 'RB'), ('covid', 'JJ'), ('funer', 'NN'), ('close', 'JJ'), ('casket', 'NN')]",daniellefong covid funer close casket,2
193,The levels of fucked up here are off the charts. How is this real.,"[('level', 'NN'), ('fuck', 'VBD'), ('chart', 'JJ'), ('real', 'JJ')]",level fuck chart real,2
194,Don\xe2\x80\x99t forget the fast food workers who are still working because of greedy companies! -it\xe2\x80\x99s not really essential bu\xe2\x80\xa6 https://t.co/Xj0jshxP7r,"[('forget', 'VB'), ('fast', 'JJ'), ('food', 'NN'), ('worker', 'NN'), ('still', 'RB'), ('work', 'VB'), ('greedi', 'JJ'), ('compani', 'NNS'), ('realli', 'VBP'), ('essenti', 'JJ'), ('http', 'NN'), ('jshxp', 'NN')]",forget fast food worker still work greedi compani realli essenti http jshxp,0
195,I\xe2\x80\x99m I allowed to have an exceptionally good day while #COVID19 brings the world to its knees? Because I\xe2\x80\x99m having an exceptionally good day.,"[('allow', 'JJ'), ('except', 'IN'), ('good', 'JJ'), ('covid', 'NN'), ('bring', 'NN'), ('world', 'NN'), ('knee', 'NN'), ('becaus', 'NN'), ('except', 'IN'), ('good', 'JJ')]",allow except good covid bring world knee becaus except good,1
196,No @IlhanMN you big dope....that is China!,"[('ilhanmn', 'JJ'), ('dope', 'NN'), ('china', 'NN')]",ilhanmn dope china,2
197,Lit,[],,2
198,Some of the last people on earth to hear about the #coronavirus pandemic are going to be told on live TV 'Big Brother' contestants to be told about coronavirus on air - CNN https://t.co/PWLMC7jEVP,"[('some', 'DT'), ('last', 'JJ'), ('peopl', 'JJ'), ('earth', 'NN'), ('hear', 'VBP'), ('coronaviru', 'NN'), ('pandem', 'NN'), ('go', 'VBP'), ('told', 'RB'), ('live', 'VBP'), ('brother', 'NN'), ('contest', 'NN'), ('told', 'VBD'), ('coronaviru', 'NN'), ('http', 'NN'), ('pwlmc', 'NN'), ('jevp', 'NN')]",last peopl earth hear coronaviru pandem go told live brother contest tell coronaviru http pwlmc jevp,1
199,Is corona virus not a thing in jail/prison?,"[('corona', 'NN'), ('viru', 'JJ'), ('thing', 'NN'), ('jail', 'NN'), ('prison', 'NN')]",corona viru thing jail prison,2
200,@SecPompeo If you are trying to combat \xe2\x80\x9cmisinformation\xe2\x80\x9d then end your tweet using a name for the Coronavirus that is completely outside of the norm...   it sort of makes you look like part of the problem that you speak of. \xf0\x9f\xa7\x90\xf0\x9f\xa7\x90\xf0\x9f\xa7\x90\xf0\x9f\xa7\x90,"[('secpompeo', 'NN'), ('tri', 'NN'), ('combat', 'NN'), ('cmisinform', 'NN'), ('tweet', 'NN'), ('use', 'NN'), ('name', 'NN'), ('coronaviru', 'JJ'), ('complet', 'NN'), ('outsid', 'NN'), ('norm', 'NN'), ('sort', 'NN'), ('make', 'VBP'), ('look', 'NN'), ('like', 'IN'), ('part', 'NN'), ('problem', 'NN'), ('speak', 'NN')]",secpompeo tri combat cmisinform tweet use name coronaviru complet outsid norm sort make look like part problem speak,2
201,@victornizet @inflazome it\xe2\x80\x99s very interesting how bats are able to tamp down the inflammation caused by all these deadly viruses. But this alone might not be enough for humans as we see more and more a role fo IL-6 in promoting COVID-19 associated pathology. Maybe inhibitor to both more effective ?,"[('victornizet', 'NN'), ('inflazom', 'JJ'), ('interest', 'NN'), ('bat', 'NN'), ('abl', 'NN'), ('tamp', 'NN'), ('inflamm', 'NN'), ('caus', 'NN'), ('deadli', 'NN'), ('virus', 'NN'), ('alon', 'NN'), ('might', 'MD'), ('enough', 'RB'), ('human', 'JJ'), ('role', 'NN'), ('promot', 'NN'), ('covid', 'NN'), ('associ', 'NN'), ('patholog', 'NN'), ('mayb', 'NN'), ('inhibitor', 'NN'), ('effect', 'NN')]",victornizet inflazom interest bat abl tamp inflamm caus deadli virus alon might enough human role promot covid associ patholog mayb inhibitor effect,1
202,Say no m\xc3\xa1s!,[],,2
203,It can't just be IT stepping up. All #business needs to move towards a bulk of their jobs converting to #remotework it saves companies on so many levels and helps #FlattenTheCurve of #COVID19,"[('step', 'NN'), ('busi', 'NNS'), ('need', 'VBP'), ('move', 'VB'), ('toward', 'IN'), ('bulk', 'JJ'), ('job', 'NN'), ('convert', 'JJ'), ('remotework', 'NN'), ('save', 'VBP'), ('compani', 'VBN'), ('mani', 'JJ'), ('level', 'NN'), ('help', 'NN'), ('flattenthecurv', 'VB'), ('covid', 'NN')]",step busi need move toward bulk job convert remotework save compani mani level help flattenthecurv covid,1
204,This how ratatouille is before he starts cookin,"[('thi', 'NN'), ('ratatouil', 'JJ'), ('start', 'NN'), ('cookin', 'NN')]",thi ratatouil start cookin,2
205,@LauraMcF76 starting a movement... #Trump supports STILL defending him amid his decisions for #COVID19 containment #DroppedOnYourHeadAsBabies,"[('lauramcf', 'JJ'), ('start', 'NN'), ('movement', 'NN'), ('trump', 'NN'), ('support', 'NN'), ('still', 'RB'), ('defend', 'VB'), ('amid', 'IN'), ('decis', 'JJ'), ('covid', 'NN'), ('contain', 'NN'), ('droppedonyourheadasbabi', 'NN')]",lauramcf start movement trump support still defend amid decis covid contain droppedonyourheadasbabi,0
206,OMG. Not at all. Theyve got acesss to the best health care in the country,"[('theyv', 'NN'), ('acesss', 'NN'), ('best', 'JJS'), ('health', 'NN'), ('care', 'NN'), ('countri', 'NN')]",theyv ace best health care countri,0
207,Wonderful!,"[('wonder', 'NN')]",wonder,1
208,.....so far.....,[],,2
209,God please shut the fuck up,"[('pleas', 'NNS'), ('shut', 'VBP'), ('fuck', 'NN')]",plea shut fuck,0
210,Can\xe2\x80\x99t wait to listen to the @Freakonomics episode about #coronavirus in a couple years.,"[('wait', 'NN'), ('listen', 'VBZ'), ('freakonom', 'JJ'), ('episod', 'NN'), ('coronaviru', 'NN'), ('coupl', 'NN'), ('year', 'NN')]",wait listen freakonom episod coronaviru coupl year,1
211,To the people pointing out how clean the air is and how much lower emissions are due to COVID19 \xe2\x80\x94 you realize we don\xe2\x80\x99t need a deadly virus to achieve this. This is what the world could be like if humanity would fully embrace the sustainability solutions we already have available.,"[('peopl', 'NNS'), ('point', 'VBP'), ('clean', 'JJ'), ('much', 'JJ'), ('lower', 'JJR'), ('emiss', 'NN'), ('covid', 'NN'), ('realiz', 'VBP'), ('need', 'NN'), ('deadli', 'NN'), ('viru', 'FW'), ('achiev', 'NN'), ('thi', 'NN'), ('world', 'NN'), ('could', 'MD'), ('like', 'VB'), ('human', 'JJ'), ('would', 'MD'), ('fulli', 'VB'), ('embrac', 'RB'), ('sustain', 'JJ'), ('solut', 'JJ'), ('alreadi', 'NN'), ('avail', 'NN')]",peopl point clean much low emiss covid realiz need deadli viru achiev thi world could like human would fulli embrac sustain solut alreadi avail,1
212,Wow,[],,2
213,Reallyyyy over this corona crap,"[('reallyyyy', 'NN'), ('corona', 'NN'), ('crap', 'NN')]",reallyyyy corona crap,0
214,My heart is so happy! I \xe2\x9d\xa4\xef\xb8\x8f @SaintJohns2 #HealthcareHeroes #SantaMonica,"[('heart', 'NN'), ('happi', 'NN'), ('saintjohn', 'NN'), ('healthcarehero', 'NN'), ('santamonica', 'NN')]",heart happi saintjohn healthcarehero santamonica,2
215,Alsoooo with the Corona Virus ain\xe2\x80\x99t no one gonna be traveling no where LMAOOO so sit your asses inside and do some wholesome shit like read a book perhaps?! \xf0\x9f\xa4\x94,"[('alsoooo', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('travel', 'NN'), ('lmaooo', 'JJ'), ('ass', 'NN'), ('insid', 'NN'), ('wholesom', 'VBP'), ('shit', 'VBN'), ('like', 'IN'), ('read', 'JJ'), ('book', 'NN'), ('perhap', 'NN')]",alsoooo corona viru travel lmaooo as insid wholesom shit like read book perhap,1
216,Ahhhhh DEADASS \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t.co/vS1JXfYqDS,"[('ahhhhh', 'JJ'), ('deadass', 'NN'), ('http', 'NN'), ('jxfyqd', 'NN')]",ahhhhh deadass http jxfyqd,2
217,#filmmyhospital  Wonder why this parking lot isn\xe2\x80\x99t jammed packed like it always is?!#nwo #plandemic #covidhoax. Don\xe2\x80\x99t get me wrong there is a virus called #covid19 that is killing people but it\xe2\x80\x99s not even close to the severity the #media has it hyped up! #instillingfear #5G https://t.co/sNkI9Qwu4J,"[('filmmyhospit', 'JJ'), ('wonder', 'NN'), ('park', 'NN'), ('jam', 'NN'), ('pack', 'NN'), ('like', 'IN'), ('alway', 'RB'), ('plandem', 'JJ'), ('covidhoax', 'NN'), ('wrong', 'JJ'), ('viru', 'NN'), ('call', 'NN'), ('covid', 'NN'), ('kill', 'NN'), ('peopl', 'VB'), ('even', 'RB'), ('close', 'RB'), ('sever', 'JJ'), ('media', 'NNS'), ('hype', 'NN'), ('instillingfear', 'VBP'), ('http', 'NN'), ('snki', 'NN')]",filmmyhospit wonder park jam pack like alway plandem covidhoax wrong viru call covid kill peopl even close sever medium hype instillingfear http snki,1
218,I highly doubtful of pax west because of things from June and July getting canned \xf0\x9f\x98\x9f and even if Raj isn't canceled I probably gonna have to stay in my own room this time cause ya know . Getting covid cause of my asthma would not be fun at all \xf0\x9f\x98\xb7,"[('highli', 'NN'), ('doubt', 'NN'), ('west', 'JJ'), ('thing', 'NN'), ('june', 'NN'), ('juli', 'NNS'), ('get', 'VBP'), ('can', 'MD'), ('even', 'RB'), ('cancel', 'VB'), ('probabl', 'NN'), ('stay', 'NN'), ('room', 'NN'), ('time', 'NN'), ('caus', 'NN'), ('know', 'VBP'), ('get', 'VB'), ('covid', 'JJ'), ('caus', 'NN'), ('asthma', 'NN'), ('would', 'MD')]",highli doubt west thing june juli get even cancel probabl stay room time caus know get covid caus asthma would,1
219,Only debit in this hoe\xf0\x9f\x98\x82,"[('onli', 'JJ'), ('debit', 'NN')]",onli debit,0
220,This is so true! He did not take it seriously in the beginning when it mattered most! Calling it a hoax! Now he\xe2\x80\x99s trying to take credit for the hard work of others!!!,"[('thi', 'NN'), ('true', 'JJ'), ('take', 'VBP'), ('serious', 'JJ'), ('begin', 'VBP'), ('matter', 'NN'), ('call', 'NN'), ('hoax', 'VBZ'), ('tri', 'NNS'), ('take', 'VB'), ('credit', 'NN'), ('hard', 'JJ'), ('work', 'NN'), ('other', 'JJ')]",thi true take serious begin matter call hoax tri take credit hard work,1
221,https://t.co/Nvqo9YDkXZ,"[('http', 'NN'), ('nvqo', 'NN'), ('ydkxz', 'NN')]",http nvqo ydkxz,2
222,Little bit of both prolly,"[('littl', 'NN'), ('prolli', 'NN')]",littl prolli,0
223,\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xf0\x9f\x92\xaf Much Respect @ELITHEMAN1,"[('much', 'JJ'), ('respect', 'NN'), ('elitheman', 'NN')]",much respect elitheman,0
224,Rudy Gobert touching all the microphones Monday and little did he know he had the virus and it was already incubating in his body.  What a dumbass.,"[('rudi', 'NN'), ('gobert', 'NN'), ('touch', 'NN'), ('microphon', 'NN'), ('monday', 'JJ'), ('littl', 'NN'), ('know', 'VBP'), ('viru', 'NN'), ('alreadi', 'NN'), ('incub', 'NN'), ('bodi', 'VBD'), ('what', 'WP'), ('dumbass', 'NN')]",rudi gobert touch microphon monday littl know viru alreadi incub bodi dumbass,0
225,@tfslaw82 @politicalelle Really? Was it? https://t.co/gHunTTe6GM,"[('tfslaw', 'NN'), ('politicalel', 'NN'), ('realli', 'NN'), ('http', 'NN'), ('ghuntt', 'NN')]",tfslaw politicalel realli http ghuntt,0
226,This corona shit getting serious and life too short man if we got beef or fell out I just wanna say fuck u from the bottom of my heart \xf0\x9f\x92\xaf,"[('thi', 'NN'), ('corona', 'NN'), ('shit', 'VBD'), ('get', 'VB'), ('seriou', 'JJ'), ('life', 'NN'), ('short', 'JJ'), ('beef', 'NN'), ('fell', 'VBD'), ('fuck', 'RB'), ('bottom', 'JJ'), ('heart', 'NN')]",thi corona shit get seriou life short beef fell fuck bottom heart,0
227,@clairecmc Trumps.predicted the Corona VIRUS.ends by APRIL.Isreali scientists are 2.weeks away from a.vaccine. Trump was right again,"[('clairecmc', 'NN'), ('trump', 'NN'), ('predict', 'NN'), ('corona', 'NN'), ('viru', 'JJ'), ('end', 'NN'), ('april', 'NN'), ('isreali', 'JJ'), ('scientist', 'NN'), ('week', 'NN'), ('away', 'RB'), ('vaccin', 'JJ'), ('trump', 'NN'), ('right', 'NN')]",clairecmc trump predict corona viru end april isreali scientist week away vaccin trump right,1
228,Whyyyyyyyyyyyyyyyyyy,"[('whyyyyyyyyyyyyyyyyyy', 'NN')]",whyyyyyyyyyyyyyyyyyy,2
229,CoronaVirus is a marketing nightmare for Corona Beer.,"[('coronaviru', 'NN'), ('market', 'NN'), ('nightmar', 'NN'), ('corona', 'NNS'), ('beer', 'NN')]",coronaviru market nightmar corona beer,1
230,What. The. Ever. Living. Fuck.,"[('what', 'WP'), ('ever', 'RB'), ('live', 'VBP'), ('fuck', 'NN')]",ever live fuck,0
231,This makes sense to me.,"[('thi', 'NNS'), ('make', 'VBP'), ('sens', 'NNS')]",thi make sen,2
232,\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2,[],,2
233,What a colossal failure to adapt and indeed predict the market needs. If they actually followed the news from Italy if not China they could have absolutely upped production long before this. Fail fail fail.,"[('what', 'WP'), ('coloss', 'NN'), ('failur', 'NN'), ('adapt', 'NN'), ('inde', 'JJ'), ('predict', 'NN'), ('market', 'NN'), ('need', 'VBP'), ('actual', 'JJ'), ('follow', 'JJ'), ('news', 'NN'), ('itali', 'NN'), ('china', 'NN'), ('could', 'MD'), ('absolut', 'VB'), ('up', 'RP'), ('product', 'NN'), ('long', 'RB'), ('fail', 'JJ'), ('fail', 'NN'), ('fail', 'NN')]",coloss failur adapt inde predict market need actual follow news itali china could absolut product long fail fail fail,0
234,We\xe2\x80\x99re gonna be fine as soon as Trump orders the DOJ to investigate #CoronaVirus\xe2\x80\x99 son who infected many in Ukraine and was using a private email server. \xe2\x80\x9cCROOKED CORONA!!\xe2\x80\x9d,"[('fine', 'JJ'), ('soon', 'RB'), ('trump', 'JJ'), ('order', 'NN'), ('investig', 'NN'), ('coronaviru', 'NN'), ('infect', 'JJ'), ('mani', 'NN'), ('ukrain', 'NN'), ('use', 'NN'), ('privat', 'NN'), ('email', 'NN'), ('server', 'NN'), ('ccrook', 'NN'), ('corona', 'NN')]",fine soon trump order investig coronaviru infect mani ukrain use privat email server ccrook corona,1
235,Get that aid from their homeland!,"[('homeland', 'NN')]",homeland,2
236,It\xe2\x80\x99s empty inside! Crazy yo... lol \xf0\x9f\x98\xae\xf0\x9f\xa6\xa0 #WeekendVibes #Bakersfield #BakoLife #Quarantine #COVID_19 #coronavirus #QuarantineLife #Saturday #Lunchtime #BJsBrewhouse #SocialDistancing @ BJ's Restaurant &amp; Brewhouse https://t.co/VFBhw1DqI4,"[('empti', 'NN'), ('insid', 'NN'), ('crazi', 'NN'), ('weekendvib', 'JJ'), ('bakersfield', 'NN'), ('bakolif', 'NN'), ('quarantin', 'NN'), ('covid', 'NN'), ('coronaviru', 'NN'), ('quarantinelif', 'NN'), ('saturday', 'JJ'), ('lunchtim', 'VBZ'), ('bjsbrewhous', 'JJ'), ('socialdistanc', 'NN'), ('restaur', 'NN'), ('brewhous', 'JJ'), ('http', 'NN'), ('vfbhw', 'NN')]",empti insid crazi weekendvib bakersfield bakolif quarantin covid coronaviru quarantinelif saturday lunchtim bjsbrewhous socialdistanc restaur brewhous http vfbhw,1
237,We were meant to be watching the entire Tigers fandom boo Ryan Matterson and Mitch Moses as they ran rings around Luke Brooks and co but instead we\xe2\x80\x99re all sitting at home eating left over chocolate contemplating whether today is the day to shower. I\xe2\x80\x99m fuming. Fuck you corona.,"[('meant', 'JJ'), ('watch', 'NN'), ('entir', 'NN'), ('tiger', 'NN'), ('fandom', 'NN'), ('ryan', 'JJ'), ('matterson', 'NN'), ('mitch', 'NN'), ('mose', 'VBD'), ('ring', 'VBG'), ('around', 'RB'), ('luke', 'JJ'), ('brook', 'NN'), ('instead', 'RB'), ('sit', 'VBD'), ('home', 'NN'), ('eat', 'NN'), ('left', 'VBD'), ('chocol', 'JJ'), ('contempl', 'NN'), ('whether', 'IN'), ('today', 'NN'), ('shower', 'VBP'), ('fume', 'JJ'), ('fuck', 'NN'), ('corona', 'NN')]",meant watch entir tiger fandom ryan matterson mitch mose ring around luke brook instead sit home eat leave chocol contempl whether today shower fume fuck corona,0
238,@JuliestBagel surely a corona extra by any other name would still taste as sweet,"[('juliestbagel', 'NN'), ('sure', 'JJ'), ('corona', 'VBZ'), ('extra', 'JJ'), ('name', 'NN'), ('would', 'MD'), ('still', 'RB'), ('tast', 'VB'), ('sweet', 'NN')]",juliestbagel sure corona extra name would still tast sweet,0
239,https://t.co/GHQYqDtKX0,"[('http', 'NN'), ('ghqyqdtkx', 'NN')]",http ghqyqdtkx,2
240,Trump is our Gray Rhino Event #grayrhino #BlackSwan #coronavirus,"[('trump', 'NN'), ('gray', 'NN'), ('rhino', 'NN'), ('event', 'NN'), ('grayrhino', 'NN'), ('blackswan', 'NN'), ('coronaviru', 'NN')]",trump gray rhino event grayrhino blackswan coronaviru,2
241,This COVID test should be fucking over the counter. Don't wait for the Health Care system to give a care about you!  Be proactive in your own care:  HIV STD COVID  Tests should be readily available for this bullshit. https://t.co/iG3Jbk0jaX,"[('thi', 'NN'), ('covid', 'JJ'), ('test', 'NN'), ('fuck', 'NN'), ('counter', 'VBP'), ('wait', 'NN'), ('health', 'NN'), ('care', 'NN'), ('system', 'NN'), ('give', 'VBP'), ('care', 'NN'), ('proactiv', 'NN'), ('care', 'NN'), ('covid', 'JJ'), ('test', 'NN'), ('readili', 'NN'), ('avail', 'NN'), ('bullshit', 'NN'), ('http', 'NN')]",thi covid test fuck counter wait health care system give care proactiv care covid test readili avail bullshit http,1
242,@cenkuygur 40% have 2 or more of his qualities including racism so they relate! #sicktimes #COVID\xe3\x83\xbc19 #TrumpPandemic,"[('cenkuygur', 'NN'), ('qualiti', 'NN'), ('includ', 'JJ'), ('racism', 'NN'), ('relat', 'JJ'), ('sicktim', 'NN'), ('covid', 'NN'), ('trumppandem', 'NN')]",cenkuygur qualiti includ racism relat sicktim covid trumppandem,0
243,I was gifted my first surgical headcaps since covid started and lm honestly so excited. Definitely the highlight of my day,"[('gift', 'NN'), ('first', 'RB'), ('surgic', 'JJ'), ('headcap', 'NN'), ('sinc', 'NN'), ('covid', 'JJ'), ('start', 'NN'), ('honestli', 'NN'), ('excit', 'NN'), ('definit', 'NN'), ('highlight', 'NN')]",gift first surgic headcap sinc covid start honestli excit definit highlight,0
244,Apparently we are going to have an abundance of time on our hands thanks to #COVID\xe3\x83\xbc19 ...time to find some new #podcasts to get inspired!  Check out my friend @thomsinger\xe2\x80\x99s list https://t.co/ytoEKtLOJQ https://t.co/X4HY84elUt,"[('appar', 'NN'), ('go', 'VB'), ('abund', 'JJ'), ('time', 'NN'), ('hand', 'NN'), ('thank', 'VB'), ('covid', 'JJ'), ('time', 'NN'), ('find', 'VB'), ('podcast', 'JJ'), ('inspir', 'JJ'), ('check', 'NN'), ('friend', 'NN'), ('thomsing', 'VBG'), ('list', 'NN'), ('http', 'NN'), ('ytoektlojq', 'NN'), ('http', 'NN'), ('elut', 'NN')]",appar go abund time hand thank covid time find podcast inspir check friend thomsing list http ytoektlojq http elut,1
245,Thank you @BarbraStreisand \xf0\x9f\x92\xaa Eloquently writing the truths of our reality \xf0\x9f\x92\x95 #TrumpNotFitForOffice #COVID\xe3\x83\xbc19\xe2\x80\xa6 https://t.co/y7RDfIvhsN,"[('thank', 'NN'), ('barbrastreisand', 'NN'), ('eloqu', 'VBZ'), ('write', 'JJ'), ('truth', 'NN'), ('realiti', 'NN'), ('trumpnotfitforoffic', 'NN'), ('covid', 'NN'), ('http', 'NN'), ('rdfivhsn', 'NN')]",thank barbrastreisand eloqu write truth realiti trumpnotfitforoffic covid http rdfivhsn,1
246,@VDL_Is_Number_1,"[('number', 'NN')]",number,2
247,CRAZY!!!!  We are in the middle of a o pandemic. He\xe2\x80\x99s lost it. Please remove trump NOW! #Resist #TrumpMeltdown #Trumpvirus \xf0\x9f\xa4\xac\xf0\x9f\xa4\xaf  Where is the @GOP ????   \xf0\x9f\x93\x9b\xf0\x9f\x86\x98\xf0\x9f\x93\x9b\xf0\x9f\x9b\x91\xf0\x9f\x93\x9b\xf0\x9f\x86\x98\xf0\x9f\x9b\x91\xf0\x9f\x93\x9b\xf0\x9f\x86\x98\xf0\x9f\x93\x9b\xf0\x9f\x9b\x91  Trump announces halt of funding to WHO pending review of coronavirus response  https://t.co/zrfcKhokNS,"[('crazi', 'NN'), ('middl', 'NN'), ('pandem', 'NN'), ('lost', 'VBD'), ('pleas', 'JJ'), ('remov', 'NN'), ('trump', 'NN'), ('resist', 'NN'), ('trumpmeltdown', 'IN'), ('trumpviru', 'NN'), ('where', 'WRB'), ('trump', 'NN'), ('announc', 'NN'), ('halt', 'NN'), ('fund', 'NN'), ('pend', 'VBP'), ('review', 'NN'), ('coronaviru', 'NN'), ('respons', 'NNS'), ('http', 'VBP'), ('zrfckhokn', 'NN')]",crazi middl pandem lose pleas remov trump resist trumpmeltdown trumpviru trump announc halt fund pend review coronaviru respons http zrfckhokn,1
248,IM SORRY???,"[('sorri', 'NN')]",sorri,2
249,@_jessssrn What if we\xe2\x80\x99re just trying to get boba with you after this corona shit?,"[('jessssrn', 'NN'), ('what', 'WP'), ('tri', 'VBZ'), ('boba', 'NN'), ('corona', 'NN'), ('shit', 'NN')]",jessssrn tri boba corona shit,0
250,\xe2\x80\x9cStrategically\xe2\x80\x9d  \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,"[('cstrateg', 'NN')]",cstrateg,2
251,Bro fuck da corona virus I haven\xe2\x80\x99t been able to bussa nut in like 3 weeks \xf0\x9f\x98\xa4,"[('fuck', 'JJ'), ('corona', 'NN'), ('viru', 'NN'), ('abl', 'VBP'), ('bussa', 'NNS'), ('like', 'IN'), ('week', 'NN')]",fuck corona viru abl bussa like week,0
252,Join me and the LA team to #GiveThanksNotPranks ...use this hashtag to help @TMobile donate to Boys &amp; Girls Clubs of America\xe2\x80\x99s COVID-19 Relief Fund to support  providing childcare for healthcare workers. We will miss you @JohnLegere thx for your leadership,"[('join', 'NN'), ('team', 'NN'), ('givethanksnotprank', 'NN'), ('hashtag', 'NN'), ('help', 'NN'), ('tmobil', 'VB'), ('donat', 'JJ'), ('boy', 'NN'), ('girl', 'NN'), ('club', 'NN'), ('america', 'VBZ'), ('covid', 'JJ'), ('relief', 'NN'), ('fund', 'NN'), ('support', 'NN'), ('provid', 'NN'), ('childcar', 'NN'), ('healthcar', 'NN'), ('worker', 'NN'), ('miss', 'NN'), ('johnleger', 'NN'), ('leadership', 'NN')]",join team givethanksnotprank hashtag help tmobil donat boy girl club america covid relief fund support provid childcar healthcar worker miss johnleger leadership,1
